2026-02-13 19:58:51 | MONTHLY.excel_export.export_to_pdf_with_excel | DEBUG | PDF exported via Excel: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/PDF/ENERGY PLAN ΜΟΝΟΠΡΟΣΩΠΗ/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ENERGY_PLAN_ΜΟΝΟΠΡΟΣΩΠΗ_Ι.Κ.Ε._-_ΧΑΝΙ_ΒΩΒΟΥ_2026-01.pdf
2026-02-13 19:58:51 | MONTHLY.production.read_production_data | DEBUG | Read /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ_Π.Ε._-_ΚΟΡΟΜΗΛΑΣ.csv: 20548 rows
2026-02-13 19:58:51 | MONTHLY.production.filter_monthly_data | INFO | Filtered 2884 rows for month=2026-01
2026-02-13 19:58:51 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-31: prod=4, dam=96, using first 4
2026-02-13 19:58:51 | MONTHLY.production.calculate_daily_summary_quarterly | INFO | Daily summary: 32 rows for month=2026-01
2026-02-13 19:58:52 | MONTHLY.excel_export.generate_invoice_excel | INFO | XLSX created: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/XLSX/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ_Π.Ε._-_ΚΟΡΟΜΗΛΑΣ_2026-01.xlsx
2026-02-13 19:58:53 | MONTHLY.excel_export.export_to_pdf_with_excel | DEBUG | PDF exported via Excel: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/PDF/ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΗΛΙΑΧΤΙΔΑ/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ_Π.Ε._-_ΚΟΡΟΜΗΛΑΣ_2026-01.pdf
2026-02-13 19:58:54 | MONTHLY.production.read_production_data | DEBUG | Read /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΡΟΗ_ΜΟΝΟΠΡΟΣΩΠΗ_ΙΚΕ.csv: 17188 rows
2026-02-13 19:58:54 | MONTHLY.production.filter_monthly_data | INFO | Filtered 2884 rows for month=2026-01
2026-02-13 19:58:54 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-31: prod=4, dam=96, using first 4
2026-02-13 19:58:54 | MONTHLY.production.calculate_daily_summary_quarterly | INFO | Daily summary: 32 rows for month=2026-01
2026-02-13 19:58:54 | MONTHLY.excel_export.generate_invoice_excel | INFO | XLSX created: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/XLSX/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ΡΟΗ_ΜΟΝΟΠΡΟΣΩΠΗ_ΙΚΕ_2026-01.xlsx
2026-02-13 19:58:56 | MONTHLY.excel_export.export_to_pdf_with_excel | DEBUG | PDF exported via Excel: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/PDF/ΡΟΗ/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ΡΟΗ_ΜΟΝΟΠΡΟΣΩΠΗ_ΙΚΕ_2026-01.pdf
2026-02-13 19:58:56 | MONTHLY.production.read_production_data | DEBUG | Read /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERCO_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΠΕΡΙΟΡΙΣΜΕΝΗΣ_ΕΥΘΥΝΗΣ_-_ΛΟΥΝΤΡΑ.csv: 5856 rows
2026-02-13 19:58:56 | MONTHLY.production.filter_monthly_data | INFO | Filtered 2884 rows for month=2026-01
2026-02-13 19:58:56 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-31: prod=4, dam=96, using first 4
2026-02-13 19:58:56 | MONTHLY.production.calculate_daily_summary_quarterly | INFO | Daily summary: 32 rows for month=2026-01
2026-02-13 19:58:56 | MONTHLY.excel_export.generate_invoice_excel | INFO | XLSX created: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/XLSX/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ENERCO_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΠΕΡΙΟΡΙΣΜΕΝΗΣ_ΕΥΘΥΝΗΣ -_ΛΟΥΝΤΡΑ_2026-01.xlsx
2026-02-13 19:58:58 | MONTHLY.excel_export.export_to_pdf_with_excel | DEBUG | PDF exported via Excel: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/PDF/AT SOLUTIONS, ΙΤΣΙΑ, ENERCO & ΠΕΡΑΝ/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ENERCO_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΠΕΡΙΟΡΙΣΜΕΝΗΣ_ΕΥΘΥΝΗΣ -_ΛΟΥΝΤΡΑ_2026-01.pdf
2026-02-13 19:58:58 | MONTHLY.timologia.timologia | WARNING | No producer match for: ΠΑΡΑΓΩΓΗ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ.csv
2026-02-13 19:58:58 | MONTHLY.production.read_production_data | DEBUG | Read /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΠΑΛΗΟΥ_ΕΥΑΓΓΕΛΙΑ_ΤΟΥ_ΑΘΑΝΑΣΙΟΥ.csv: 11528 rows
2026-02-13 19:58:58 | MONTHLY.production.filter_monthly_data | INFO | Filtered 2884 rows for month=2026-01
2026-02-13 19:58:58 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-31: prod=4, dam=96, using first 4
2026-02-13 19:58:58 | MONTHLY.production.calculate_daily_summary_quarterly | INFO | Daily summary: 32 rows for month=2026-01
2026-02-13 19:58:59 | MONTHLY.excel_export.generate_invoice_excel | INFO | XLSX created: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/XLSX/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ΠΑΛΗΟΥ_ΕΥΑΓΓΕΛΙΑ_ΤΟΥ_ΑΘΑΝΑΣΙΟΥ_2026-01.xlsx
2026-02-13 19:59:00 | MONTHLY.excel_export.export_to_pdf_with_excel | DEBUG | PDF exported via Excel: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/PDF/ΠΑΛΗΟΥ ΕΥΑΓΓΕΛΙΑ/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ΠΑΛΗΟΥ_ΕΥΑΓΓΕΛΙΑ_ΤΟΥ_ΑΘΑΝΑΣΙΟΥ_2026-01.pdf
2026-02-13 19:59:01 | MONTHLY.production.read_production_data | DEBUG | Read /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_MEDIL_ΜΟΝΟΠΡΟΣΩΠΗ_Ι.Κ.Ε..csv: 2880 rows
2026-02-13 19:59:01 | MONTHLY.production.filter_monthly_data | INFO | Filtered 2880 rows for month=2026-01
2026-02-13 19:59:01 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-01: prod=92, dam=96, using first 92
2026-02-13 19:59:01 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-31: prod=4, dam=96, using first 4
2026-02-13 19:59:01 | MONTHLY.production.calculate_daily_summary_quarterly | INFO | Daily summary: 32 rows for month=2026-01
